Elapsed [0:34:00], Iteration [20000/1000000], G/loss_id: 4.2101, G/loss_id_psnt: 4.2109, G/loss_cd: 0.0367, mvg_avg: 0.0411
Elapsed [0:34:53], Iteration [20500/1000000], G/loss_id: 5.1716, G/loss_id_psnt: 5.1653, G/loss_cd: 0.0366, mvg_avg: 0.0385
Elapsed [0:35:44], Iteration [21000/1000000], G/loss_id: 3.2079, G/loss_id_psnt: 3.2223, G/loss_cd: 0.0384, mvg_avg: 0.0401
Elapsed [0:36:35], Iteration [21500/1000000], G/loss_id: 4.7206, G/loss_id_psnt: 4.7027, G/loss_cd: 0.0321, mvg_avg: 0.0399
Elapsed [0:37:27], Iteration [22000/1000000], G/loss_id: 2.9796, G/loss_id_psnt: 2.9990, G/loss_cd: 0.0345, mvg_avg: 0.0398
Elapsed [0:38:18], Iteration [22500/1000000], G/loss_id: 3.4169, G/loss_id_psnt: 3.4279, G/loss_cd: 0.0273, mvg_avg: 0.0393
Elapsed [0:39:09], Iteration [23000/1000000], G/loss_id: 2.0967, G/loss_id_psnt: 2.0840, G/loss_cd: 0.0228, mvg_avg: 0.0399
Elapsed [0:40:00], Iteration [23500/1000000], G/loss_id: 3.5002, G/loss_id_psnt: 3.4890, G/loss_cd: 0.0295, mvg_avg: 0.0387
Elapsed [0:40:51], Iteration [24000/1000000], G/loss_id: 6.8033, G/loss_id_psnt: 6.8148, G/loss_cd: 0.0501, mvg_avg: 0.0403
Elapsed [0:41:42], Iteration [24500/1000000], G/loss_id: 6.5470, G/loss_id_psnt: 6.5291, G/loss_cd: 0.0451, mvg_avg: 0.0403
Elapsed [0:42:33], Iteration [25000/1000000], G/loss_id: 3.7886, G/loss_id_psnt: 3.8001, G/loss_cd: 0.0341, mvg_avg: 0.0390
Elapsed [0:43:25], Iteration [25500/1000000], G/loss_id: 6.3672, G/loss_id_psnt: 6.3666, G/loss_cd: 0.0414, mvg_avg: 0.0393
Elapsed [0:44:16], Iteration [26000/1000000], G/loss_id: 4.0980, G/loss_id_psnt: 4.0683, G/loss_cd: 0.0355, mvg_avg: 0.0390
Elapsed [0:45:07], Iteration [26500/1000000], G/loss_id: 4.2508, G/loss_id_psnt: 4.2199, G/loss_cd: 0.0361, mvg_avg: 0.0393
Elapsed [0:45:58], Iteration [27000/1000000], G/loss_id: 3.0545, G/loss_id_psnt: 3.0488, G/loss_cd: 0.0244, mvg_avg: 0.0367
Elapsed [0:46:49], Iteration [27500/1000000], G/loss_id: 7.7133, G/loss_id_psnt: 7.6946, G/loss_cd: 0.0534, mvg_avg: 0.0394
Elapsed [0:47:40], Iteration [28000/1000000], G/loss_id: 3.4615, G/loss_id_psnt: 3.4632, G/loss_cd: 0.0294, mvg_avg: 0.0374
